name,date,price,volume
CZ75-Auto | Army Sheen (Factory New),3/23/2016 1:00,0.224,1194
CZ75-Auto | Army Sheen (Factory New),3/24/2016 1:00,0.227,1268
CZ75-Auto | Army Sheen (Factory New),3/25/2016 1:00,0.216,957
CZ75-Auto | Army Sheen (Factory New),3/26/2016 1:00,0.229,819
CZ75-Auto | Army Sheen (Factory New),3/27/2016 1:00,0.225,893
CZ75-Auto | Army Sheen (Factory New),3/28/2016 1:00,0.234,755
CZ75-Auto | Army Sheen (Factory New),3/29/2016 1:00,0.223,727
CZ75-Auto | Army Sheen (Factory New),3/30/2016 1:00,0.196,1093
CZ75-Auto | Army Sheen (Factory New),3/31/2016 1:00,0.2,1399
CZ75-Auto | Army Sheen (Factory New),4/1/2016 1:00,0.217,1019
CZ75-Auto | Army Sheen (Factory New),4/2/2016 1:00,0.228,1223
CZ75-Auto | Army Sheen (Factory New),4/3/2016 1:00,0.204,1300
CZ75-Auto | Army Sheen (Factory New),4/4/2016 1:00,0.209,746
CZ75-Auto | Army Sheen (Factory New),4/5/2016 1:00,0.229,778
CZ75-Auto | Army Sheen (Factory New),4/6/2016 1:00,0.222,1183
CZ75-Auto | Army Sheen (Factory New),4/7/2016 1:00,0.222,1071
CZ75-Auto | Army Sheen (Factory New),4/8/2016 1:00,0.23,1340
CZ75-Auto | Army Sheen (Factory New),4/9/2016 1:00,0.276,1415
CZ75-Auto | Army Sheen (Factory New),4/10/2016 1:00,0.279,975
CZ75-Auto | Army Sheen (Factory New),4/11/2016 1:00,0.303,768
CZ75-Auto | Army Sheen (Factory New),4/12/2016 1:00,0.308,756
CZ75-Auto | Army Sheen (Factory New),4/13/2016 1:00,0.266,1047
CZ75-Auto | Army Sheen (Factory New),4/14/2016 1:00,0.266,1076
CZ75-Auto | Army Sheen (Factory New),4/15/2016 1:00,0.259,966
CZ75-Auto | Army Sheen (Factory New),4/16/2016 1:00,0.257,950
CZ75-Auto | Army Sheen (Factory New),4/17/2016 1:00,0.258,816
CZ75-Auto | Army Sheen (Factory New),4/18/2016 1:00,0.253,688
CZ75-Auto | Army Sheen (Factory New),4/19/2016 1:00,0.26,662
CZ75-Auto | Army Sheen (Factory New),4/20/2016 1:00,0.245,1098
CZ75-Auto | Army Sheen (Factory New),4/21/2016 1:00,0.234,987
CZ75-Auto | Army Sheen (Factory New),4/22/2016 1:00,0.234,1075
CZ75-Auto | Army Sheen (Factory New),4/23/2016 1:00,0.241,1075
CZ75-Auto | Army Sheen (Factory New),4/24/2016 1:00,0.241,1072
CZ75-Auto | Army Sheen (Factory New),4/25/2016 1:00,0.245,811
CZ75-Auto | Army Sheen (Factory New),4/26/2016 1:00,0.253,748
CZ75-Auto | Army Sheen (Factory New),4/27/2016 1:00,0.229,1025
CZ75-Auto | Army Sheen (Factory New),4/28/2016 1:00,0.225,1192
CZ75-Auto | Army Sheen (Factory New),4/29/2016 1:00,0.225,1275
CZ75-Auto | Army Sheen (Factory New),4/30/2016 1:00,0.239,1440
CZ75-Auto | Army Sheen (Factory New),5/1/2016 1:00,0.255,1075
CZ75-Auto | Army Sheen (Factory New),5/2/2016 1:00,0.271,932
CZ75-Auto | Army Sheen (Factory New),5/3/2016 1:00,0.283,885
CZ75-Auto | Army Sheen (Factory New),5/4/2016 1:00,0.243,1302
CZ75-Auto | Army Sheen (Factory New),5/5/2016 1:00,0.228,1104
CZ75-Auto | Army Sheen (Factory New),5/6/2016 1:00,0.231,1088
CZ75-Auto | Army Sheen (Factory New),5/7/2016 1:00,0.224,986
CZ75-Auto | Army Sheen (Factory New),5/8/2016 1:00,0.218,773
CZ75-Auto | Army Sheen (Factory New),5/9/2016 1:00,0.221,914
CZ75-Auto | Army Sheen (Factory New),5/10/2016 1:00,0.222,807
CZ75-Auto | Army Sheen (Factory New),5/11/2016 1:00,0.22,1020
CZ75-Auto | Army Sheen (Factory New),5/12/2016 1:00,0.211,1071
CZ75-Auto | Army Sheen (Factory New),5/13/2016 1:00,0.207,942
CZ75-Auto | Army Sheen (Factory New),5/14/2016 1:00,0.208,1128
CZ75-Auto | Army Sheen (Factory New),5/15/2016 1:00,0.212,946
CZ75-Auto | Army Sheen (Factory New),5/16/2016 1:00,0.201,702
CZ75-Auto | Army Sheen (Factory New),5/17/2016 1:00,0.203,591
CZ75-Auto | Army Sheen (Factory New),5/18/2016 1:00,0.191,1253
CZ75-Auto | Army Sheen (Factory New),5/19/2016 1:00,0.197,1007
CZ75-Auto | Army Sheen (Factory New),5/20/2016 1:00,0.177,863
CZ75-Auto | Army Sheen (Factory New),5/21/2016 1:00,0.177,944
CZ75-Auto | Army Sheen (Factory New),5/22/2016 1:00,0.181,843
CZ75-Auto | Army Sheen (Factory New),5/23/2016 1:00,0.19,664
